method,dataset,depth,param_type,param_value,num_subgroups,num_candidates,pruned_subgroups,auc,max_quality,time_seconds,total_points,original_hull_points,removed_points,new_hull_points,original_auc,new_auc,auc_reduction,original_area,new_area,area_reduction,original_max_quality,new_max_quality,selected_points,avg_distance_to_hull,min_diagonal_distance,max_diagonal_distance,threshold_used
above_diagonal_percentage,mushroom,2,distance_percentage,10.0,,,,,,0.010434150695800781,4210.0,,,3.0,0.9948733284914769,0.9877775490626347,0.007095779428842208,0.49487332849147686,0.4877775490626346,0.007095779428842264,0.9138563832886044,0.9138563832886044,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,3,distance_percentage,0.5,,,,,,0.020173311233520508,8010.0,,,2.0,0.9949432376484113,0.9775125545194328,0.017430683128978552,0.4949432376484113,0.4775125545194328,0.017430683128978497,0.9158992842079099,0.9158992842079099,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,3,distance_percentage,1.0,,,,,,0.019017934799194336,8010.0,,,2.0,0.9949432376484113,0.9775125545194328,0.017430683128978552,0.4949432376484113,0.4775125545194328,0.017430683128978497,0.9158992842079099,0.9158992842079099,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,3,distance_percentage,2.0,,,,,,0.016286849975585938,8010.0,,,3.0,0.9949432376484113,0.9878474582195691,0.007095779428842208,0.4949432376484113,0.48784745821956904,0.007095779428842264,0.9158992842079099,0.9158992842079099,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,3,distance_percentage,5.0,,,,,,0.019690990447998047,8010.0,,,3.0,0.9949432376484113,0.9878474582195691,0.007095779428842208,0.4949432376484113,0.48784745821956904,0.007095779428842264,0.9158992842079099,0.9158992842079099,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,3,distance_percentage,10.0,,,,,,0.01606893539428711,8010.0,,,4.0,0.9949432376484113,0.9902127180291832,0.004730519619228102,0.4949432376484113,0.4902127180291832,0.004730519619228102,0.9158992842079099,0.9158992842079099,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,4,distance_percentage,0.5,,,,,,0.024659395217895508,10161.0,,,2.0,0.9952927834330834,0.9775125545194328,0.01778022891365061,0.49529278343308336,0.4775125545194328,0.017780228913650553,0.9169207346675625,0.9158992842079099,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,4,distance_percentage,1.0,,,,,,0.025221824645996094,10161.0,,,2.0,0.9952927834330834,0.9775125545194328,0.01778022891365061,0.49529278343308336,0.4775125545194328,0.017780228913650553,0.9169207346675625,0.9158992842079099,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,4,distance_percentage,2.0,,,,,,0.026195287704467773,10161.0,,,3.0,0.9952927834330834,0.9878474582195691,0.0074453252135142645,0.49529278343308336,0.48784745821956904,0.00744532521351432,0.9169207346675625,0.9158992842079099,0.0,,,0.0,0.0
above_diagonal_percentage,mushroom,4,distance_percentage,5.0,,,,,,0.0222775936126709,10161.0,,,3.0,0.9952927834330834,0.9878474582195691,0.0074453252135142645,0.49529278343308336,0.48784745821956904,0.00744532521351432,0.9169207346675625,0.9158992842079099,0.0,,,0.0,0.0
